# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.17.0
#@/tick	632
#@/user_id	9d0922bb-2196-4703-8ad7-5b1d1981f005
a 	啊	c=3 d=1.31215 t=632
报玻璃 	bao bo li	c=0 d=0 t=632
按抓按 	an zhua an	c=0 d=0 t=632
挺品 	ting pin	c=0 d=0 t=632
接屏幕 	jie ping mu	c=0 d=0 t=632
接纳么 	jie na me	c=0 d=0 t=632
提交澳 	ti jiao ao	c=0 d=0 t=632
插补进去 	cha bu jin qu	c=0 d=0 t=632
摩托老 	mo tuo lao	c=0 d=0 t=632
改西安 	gai xi an	c=0 d=0 t=632
放鬓 	fang bin	c=0 d=0 t=632
新分支 	xin fen zhi	c=0 d=0 t=632
新提交 	xin ti jiao	c=0 d=0 t=632
新窗口 	xin chuang kou	c=0 d=0 t=632
无相应 	wu xiang ying	c=0 d=0 t=632
时间戳 	shi jian chuo	c=0 d=0 t=632
是激昂无 	shi ji ang wu	c=0 d=0 t=632
最右侧 	zui you ce	c=0 d=0 t=632
最旁 	zui pang	c=0 d=0 t=632
最胖 	zui pang	c=0 d=0 t=632
有图标 	you tu biao	c=0 d=0 t=632
有图标而 	you tu biao er	c=0 d=0 t=632
末热量 	mo re liang	c=0 d=0 t=632
本机器 	ben ji qi	c=0 d=0 t=632
本纪其 	ben ji qi	c=0 d=0 t=632
来弄 	lai nong	c=0 d=0 t=632
架子啊 	jia zi a	c=0 d=0 t=632
每我 	mei wo	c=0 d=0 t=632
每提交 	mei ti jiao	c=0 d=0 t=632
比亚大 	bi ya da	c=0 d=0 t=632
比殴打 	bi ou da	c=0 d=0 t=632
比起锋芒 	bi qi feng mang	c=0 d=0 t=632
没咋 	mei za	c=0 d=0 t=632
没大碍 	mei da ai	c=0 d=0 t=632
没有钻杆 	mei you zuan gan	c=0 d=0 t=632
没看大 	mei kan da	c=0 d=0 t=632
没配 	mei pei	c=0 d=0 t=632
洗涤呢 	xi di ne	c=0 d=0 t=632
洛宝 	luo bao	c=0 d=0 t=632
流量奶骑 	liu liang nai qi	c=0 d=0 t=632
清苦能够 	qing ku neng gou	c=0 d=0 t=632
滚里 	gun li	c=0 d=0 t=632
灭大 	mie da	c=0 d=0 t=632
热爱后 	re ai hou	c=0 d=0 t=632
然欧 	ran ou	c=0 d=0 t=632
瑜伽裤 	yu jia ku	c=0 d=0 t=632
用下来 	yong xia lai	c=0 d=0 t=632
用出 	yong chu	c=0 d=0 t=632
用岛国 	yong dao guo	c=0 d=0 t=632
用拥吻 	yong yong wen	c=0 d=0 t=632
用改革 	yong gai ge	c=0 d=0 t=632
盒盖休眠 	he gai xiu mian	c=0 d=0 t=632
盲从才 	mang cong cai	c=0 d=0 t=632
直接改 	zhi jie gai	c=0 d=0 t=632
省侧 	sheng ce	c=0 d=0 t=632
看下啊 	kan xia a	c=0 d=0 t=632
瞎子啊 	xia zi a	c=0 d=0 t=632
私房拍摄 	si fang pai she	c=0 d=0 t=632
等不料 	deng bu liao	c=0 d=0 t=632
等以后 	deng yi hou	c=0 d=0 t=632
算日哦嗯 	suan ri o ng	c=0 d=0 t=632
系统容 	xi tong rong	c=0 d=0 t=632
红内 	hong nei	c=0 d=0 t=632
美欧去 	mei ou qu	c=0 d=0 t=632
群殴他 	qun ou ta	c=0 d=0 t=632
老判断 	lao pan duan	c=0 d=0 t=632
而机器 	er ji qi	c=0 d=0 t=632
而秘法 	er mi fa	c=0 d=0 t=632
自动个 	zi dong ge	c=0 d=0 t=632
自爱吸纳 	zi ai xi na	c=0 d=0 t=632
自爱那 	zi ai na	c=0 d=0 t=632
袍子啊 	pao zi a	c=0 d=0 t=632
被错 	bei cuo	c=0 d=0 t=632
装行 	zhuang hang	c=0 d=0 t=632
设别 	she bie	c=0 d=0 t=632
设遏制 	she e zhi	c=0 d=0 t=632
请跨国你 	qing kua guo ni	c=0 d=0 t=632
路径测测 	lu jing ce ce	c=0 d=0 t=632
车规 	che gui	c=0 d=0 t=632
这今儿个 	zhe jin er ge	c=0 d=0 t=632
这呀 	zhe ya	c=0 d=0 t=632
连杀那个 	lian sha na ge	c=0 d=0 t=632
部以来 	bu yi lai	c=0 d=0 t=632
部澳 	bu ao	c=0 d=0 t=632
部队哦 	bu dui o	c=0 d=0 t=632
都修复 	dou xiu fu	c=0 d=0 t=632
都加上 	dou jia shang	c=0 d=0 t=632
都提交 	dou ti jiao	c=0 d=0 t=632
配一下 	pei yi xia	c=0 d=0 t=632
配早 	pei zao	c=0 d=0 t=632
酷鸭 	ku ya	c=0 d=0 t=632
醉茄子 	zui qie zi	c=0 d=0 t=632
里里边 	li li bian	c=0 d=0 t=632
问大概 	wen da gai	c=0 d=0 t=632
需阿兵哥 	xu a bing ge	c=0 d=0 t=632
饭困 	fan kun	c=0 d=0 t=632
龙慢 	long man	c=0 d=0 t=632
📚入 	shu ru	c=0 d=0 t=632
